Recipe,Amount,Unit,Ingredient
perfect-mashed-potatoes,3.0,453.6,potatoes
perfect-mashed-potatoes,8.0,14.8,unsalted butter
perfect-mashed-potatoes,3.0,-1.0,medium garlic cloves minced
perfect-mashed-potatoes,1.0,14.8,dried coriander
perfect-mashed-potatoes,0.3,236.6,toasted sliced almonds
perfect-mashed-potatoes,1.0,14.8,toasted sesame seeds
perfect-mashed-potatoes,2.0,14.8,dried oregano
perfect-mashed-potatoes,1.0,236.6,whole milk
perfect-mashed-potatoes,1.5,14.8,sea salt
veggie-kebabs,1.0,14.8,cayenne pepper
veggie-kebabs,1.0,14.8,ground turmeric
veggie-kebabs,1.5,14.8,Dijon-style mustard
veggie-kebabs,0.5,14.8,fine grain sea salt
veggie-kebabs,2.0,14.8,orange juice or grapefruit juice
veggie-kebabs,3.0,14.8,pickle relish
veggie-kebabs,0.6,236.6,Greek yogurt
veggie-kebabs,8.0,28.4,paneer cheese
veggie-kebabs,8.0,28.4,mushrooms
veggie-kebabs,2.0,-1.0,small-med onions
veggie-kebabs,2.0,236.6,of frozen artichoke hearts
beet-fettuccine,150.0,1.0,rye flour or whole wheat pastry flour
beet-fettuccine,160.0,1.0,semola flour
beet-fettuccine,1.0,-1.0,egg
beet-fettuccine,3.0,14.8,red beet juice
beet-fettuccine,0.3,236.6,water
sourdough-galette-with-delicata-squash,2.0,-1.0,garlic cloves
sourdough-galette-with-delicata-squash,150.0,1.0,Greek Yogurt
sourdough-galette-with-delicata-squash,2.0,14.8,minced jalapeño or serrano chile
sourdough-galette-with-delicata-squash,45.0,1.0,walnuts
sourdough-galette-with-delicata-squash,30.0,1.0,rye flour
sourdough-galette-with-delicata-squash,80.0,1.0,unbleached all-purpose flour
sourdough-galette-with-delicata-squash,10.0,1.0,granulated sugar
sourdough-galette-with-delicata-squash,0.5,14.8,fine grain sea salt
sourdough-galette-with-delicata-squash,75.0,1.0,unsalted butter
sourdough-galette-with-delicata-squash,50.0,1.0,100% hydration sourdough starter*
sourdough-galette-with-delicata-squash,20.0,1.0,gin
sourdough-galette-with-delicata-squash,2.0,-1.0,medium delicata squash
sourdough-galette-with-delicata-squash,2.0,-1.0,medium shallots
sourdough-galette-with-delicata-squash,0.0,-1.0,extra virgin olive oil
sourdough-galette-with-delicata-squash,4.0,28.4,/ 115g mozzarella
sourdough-galette-with-delicata-squash,0.0,-1.0,salt
sourdough-galette-with-delicata-squash,1.0,-1.0,bunch scallions
sourdough-galette-with-delicata-squash,1.0,-1.0,egg yolk
golden-crusted-brussels-sprouts,1.0,453.6,of small brussels sprouts
golden-crusted-brussels-sprouts,2.0,14.8,extra-virgin olive oil
golden-crusted-brussels-sprouts,0.0,-1.0,fine-grain sea salt and freshly ground black pepper
golden-crusted-brussels-sprouts,0.25,236.6,grated cheese or chopped nuts - your choice!
toasted-pumpkin-seeds,1.5,236.6,pumpkin seeds
toasted-pumpkin-seeds,2.0,14.8,olive oil
toasted-pumpkin-seeds,0.0,-1.0,fine grain sea salt
curried-tomato-tortellini-soup,4.0,-1.0,big handfuls spinach
curried-tomato-tortellini-soup,2.0,14.8,extra virgin olive oil
curried-tomato-tortellini-soup,1.0,-1.0,medium yellow onion
curried-tomato-tortellini-soup,3.0,-1.0,garlic
curried-tomato-tortellini-soup,2.5,14.8,curry powder
curried-tomato-tortellini-soup,0.75,14.8,sweet (or smoked) paprika
curried-tomato-tortellini-soup,0.5,14.8,ground turmeric
curried-tomato-tortellini-soup,0.75,14.8,red chile flakes
curried-tomato-tortellini-soup,28.0,28.4,can whole tomatoes
