Recipe,Amount,Unit,Ingredient
perfect-mashed-potatoes,3,pounds,"potatoes, washed and cut into 2-inch chunks"
perfect-mashed-potatoes,8,tablespoons,"unsalted butter
"
perfect-mashed-potatoes,3,,"medium garlic cloves minced
"
perfect-mashed-potatoes,1,pinch,"of saffron (optional)
"
perfect-mashed-potatoes,1,teaspoon,"dried coriander
"
perfect-mashed-potatoes,0.3,cup,"toasted sliced almonds
"
perfect-mashed-potatoes,1,tablespoon,"toasted sesame seeds
"
perfect-mashed-potatoes,2,tablespoons,"dried oregano
"
perfect-mashed-potatoes,1,cup,"whole milk, gently warmed
"
perfect-mashed-potatoes,1 0.5,teaspoons,"sea salt, plus more to taste
"
veggie-kebabs,1,teaspoon,"cayenne pepper
"
veggie-kebabs,1,teaspoon,"ground turmeric
"
veggie-kebabs,1 0.5,tablespoons,"Dijon-style mustard
"
veggie-kebabs,0.5,teaspoon,"fine grain sea salt
"
veggie-kebabs,2,tablespoons,"orange juice or grapefruit juice
"
veggie-kebabs,3,tablespoons,"pickle relish
"
veggie-kebabs,0.6,cup,"Greek yogurt
"
veggie-kebabs,8,ounces,"paneer cheese, cut into 1-inch squares"
veggie-kebabs,8,ounces,"mushrooms, trimmed
"
veggie-kebabs,2,,"small-med onions, cut into wedges
"
veggie-kebabs,2,cups,"of frozen artichoke hearts, thawed
"
beet-fettuccine,150,g,"rye flour or whole wheat pastry flour
"
beet-fettuccine,160,g,"semola flour
"
beet-fettuccine,1,,"egg, whisked
"
beet-fettuccine,3,tablespoons,"red beet juice
"
beet-fettuccine,0.3,cup,"water
"
sourdough-galette-with-delicata-squash,2,,"garlic cloves, peeled
"
sourdough-galette-with-delicata-squash,150,g,"Greek Yogurt
"
sourdough-galette-with-delicata-squash,2,tablespoons,"minced jalapeño or serrano chile, or to taste
"
sourdough-galette-with-delicata-squash,45,g,"walnuts
"
sourdough-galette-with-delicata-squash,30,g,"rye flour
"
sourdough-galette-with-delicata-squash,80,g,"unbleached all-purpose flour
"
sourdough-galette-with-delicata-squash,10,g,"granulated sugar
"
sourdough-galette-with-delicata-squash,0.5,teaspoon,"fine grain sea salt
"
sourdough-galette-with-delicata-squash,75,g,"unsalted butter, chilled
"
sourdough-galette-with-delicata-squash,50,g,100% hydration sourdough starter*
sourdough-galette-with-delicata-squash,20,g,"gin, vodka, or ice water
"
sourdough-galette-with-delicata-squash,2,,"medium delicata squash
"
sourdough-galette-with-delicata-squash,2,,"medium shallots, peeled and thinly sliced
"
sourdough-galette-with-delicata-squash,,,"extra virgin olive oil
"
sourdough-galette-with-delicata-squash,4,ounces,/ 115g mozzarella
sourdough-galette-with-delicata-squash,,,"salt, to taste
"
sourdough-galette-with-delicata-squash,1,,"bunch scallions, thinly sliced with greens
"
sourdough-galette-with-delicata-squash,1,,"egg yolk
"
golden-crusted-brussels-sprouts,1,pound,"of small brussels sprouts
"
golden-crusted-brussels-sprouts,2,tablespoons,"extra-virgin olive oil
"
golden-crusted-brussels-sprouts,,,"fine-grain sea salt and freshly ground black pepper
"
golden-crusted-brussels-sprouts,0.25,cup,"grated cheese or chopped nuts - your choice!
"
toasted-pumpkin-seeds,1 0.5,cups,"pumpkin seeds, well-cleaned, well-dried
"
