Recipe,Instruction
panade,Cut or tear sourdough into rough 1-inch cubes. Set aside.
panade,"You can prepare these a day or two in advance if you like. Youâ€™ll need a large, wide skillet, pan or pot. Place the onions in the pan, drizzle with 1/4 cup of the olive oil and set over medium-high heat. Stir well and season with a couple pinches of salt. Theyâ€™ll cook down. Cook, stirring occasionally, until the onions start to color and begin to caramelize. I like to let them get super jammy, with lots of color, but not-at all burned. This can take about a half hour. Once youâ€™re nearly done cooking the onions, reduce the heat to low and stir in the garlic. Cook until soft, 5-6 minutes. You should end up with 2 or 2 1/2 cups of cooked onions. Set aside."
panade,Preheat the oven to 325F.
panade,Place the bread cubes in a large bowl drizzle with 2 tablespoons of olive oil and 1/2 cup of the broth. Add 1 cup of the scallions and a few pinches of salt. Use your hands to toss and gently squeeze the bread cubes until evenly moist. Set aside.
panade,"Choose an oven-proof 3-quart dutch oven or cast-iron pan or pot (12-cup capacity). See photos. Also note, youâ€™re going to want a baking dish that can go from stove-top to oven. Assemble the panade in layers. Start with a layer of onions, followed by a loose layer of bread cubes, another layer of onions, and then a layer of grated cheese. Repeat: bread, onions, cheese, until youâ€™ve reached the top of your pan. Aim for 2-3 layers of each component, packing down with a bit of pressure if needed. The top layer should have a some of everything. Add a finishing sprinkle of the remaining scallions and the chives. Drizzle with remaining 2 T. olive oil."
panade,"Bring the remaining 4 1/2 cups of broth to a simmer and taste for seasoning, it should taste good enough to drink. Pour it slowly over the panade, in doses, around the edges until it comes up nearly to the rim. Let it sit for a minute, allowing the bread to absorb the broth and add a bit more if needed."
panade,"Set the panade over low heat and bring to a simmer. Look for bubbling at the edges and listen to know. Remove from heat. Cover with a layer of parchment paper, then loosely wrap the top and sides of the pan with foil, careful because the pan can be hot. Place another piece of foil or sheet pan on the rack below your panade in case it bubbles over. Bake for about an hour, before having a peek. Baking time will actually depend on your pan and oven - it can take longer. Take a peek, at this point the top should be getting a bit golden around the edges. If youâ€™re not seeing any color, bake longer."
panade,"Uncover the panade, dial your oven to 375F, and bake until beautiful and golden on top, another 15-25 minutes. I sometimes give it a finishing kiss with the broiler if Iâ€™m not getting enough browning for my taste."
panade,"If youâ€™re not ready to serve, re-cover the panade, reduce the oven back to 250F, and you can hold it there for a half an hour or so without issue. You can always test the panade. Basically you want to avoid dryness. Your panade should be silky and unctuous. If it seems a bit on the dry side you can add more hot broth a few tablespoons at a time and serve when ready."
panade,Serve in pan after allowing to sit outside the oven for 10 minutes.
Recipe                 ,Instruction
perfect-mashed-potatoes,"To a large pot of boiling, salted water add the potatoes. Cook until tender throughout, but not falling apart, about 15 minutes - it really depends on the potatoes."
perfect-mashed-potatoes,"Melt 6 tablespoons of the butter gently in a small saucepan over medium-low heat. Stir in the garlic, and allow to steep there over low heat for 5-10 minutes. Remove from heat. You can either leave the garlic bits in, or strain them out. Either way, at this point, stir in the saffron (if using), and a pinch of salt, and set aside."
perfect-mashed-potatoes,"Crush the coriander seeds in a mortar and pestle. Add the almonds, and crush them, but not so much that they turn to paste. Stir in the sesame seeds, and then the oregano. Crushing the oregano in between your palms as you add it."
perfect-mashed-potatoes,"When the potatoes are tender, drain them, and return to the cooking pot over the lowest heat. Mash together with the milk, the remaining 2 tablespoons butter, and the salt. Serve hot, topped with the garlic butter and almond mixture."
Recipe       ,Instruction
veggie-kebabs,"Combine the cayenne, turmeric, mustard, salt, juice, and relish into a medium-large storage container. Add the yogurt and stir until uniform in color."
veggie-kebabs,"Add the paneer, mushrooms, onions, and artichoke hearts to the marinade. Toss gently to coat everything evenly. Refrigerate for at least 4 hours, or up to 3-4 days."
veggie-kebabs,"If youâ€™re using wooden skewers, give them a soak in water, this will help prevent them from burning on the grill or in the oven. When youâ€™re ready to cook the kebabs, thread alternating ingredients onto the skewers."
veggie-kebabs,"If youâ€™re grilling the kebabs, place on a medium-hot grill. Flip the kebabs once or twice along the way, grill until the kebabs are nicely golden and ingredients are cooked through. Alternately, if you're using an oven, bake at 375F flipping once or twice along the way, until the kebabs are nicely golden and ingredients are cooked through."
Recipe         ,Instruction
beet-fettuccine,"You can make the dough in a bowl, or directly on a countertop. If you start in a bowl, you'll end up turning out the dough onto a counter for kneading later. So! Start by combining the flours. Add the egg, and work it into the flour a bit. Add the beet juice, and stir to combine. Gradually add the water a splash at a time, you only want to use enough to get the dough to come together into a dryish mass. If you're not already working on a counter, turn the dough out and start kneading. You can add a bit more water now and then, if the dough is too dry. Knead for 7-10 minutes, just really go for it, until the pasta dough is silky and cohesive. Wrap tightly in plastic, or place in a sandwich bag for at least 30 minutes."
beet-fettuccine,"At this point either roll the pasta out thinly with a rolling pin or pasta machine (I go to 3 on the Atlas). You'll need a well-floured surface if you're rolling the dough out by hand, and you'll want to keep the pasta nicely floured as well, so it doesn't stick to itself. To cut the dough into fettuccine, loosely fold/roll the dough into a cylinder, and cut with a sharp knife. Alternately, you can run the dough though the fettuccine cutter on your pasta machine."
beet-fettuccine,"Cook in lots of well-salted boiling water for just a minute, these noodles cook quickly! Use in your favorite broth, or toss with your favorite sauce."
Recipe                                ,Instruction
sourdough-galette-with-delicata-squash,"To make the green chile yogurt, chop the garlic into a paste, transfer to a small bowl and combine with the yogurt and minced chiles. Set aside. Keep in mind you can make this, and refrigerate, a day or two in advance."
sourdough-galette-with-delicata-squash,"The same goes for the Walnut PÃ¢te BrisÃ©e crust, I usually make it a day or two in advance. Combine the walnuts, flours, sugar, and salt in a food processor. Pulse until the walnuts are ground fine. Cut the chilled butter into little cubes and add to the processor. Pulse until the mixture is like cornmeal with tiny pebbles. Add the starter and the gin, vodka, or ice water, and pulse until everything comes together. Transfer the dough onto a lightly floured surface, and knead once or twice until the dough comes together. Shape into a round disk, roughly an inch-thick, wrap in plastic, and refrigerate for at least 30 minutes."
sourdough-galette-with-delicata-squash,"Heat the oven to 400F. Slice the delicata squash in half lengthwise, clean out the seeds (wash and toast those as well!), and then slice the delicata into 1/4-inch thick crescent moon shapes (see photo). Toss with a generous splash of olive oil and the sliced shallots, sprinkle with a bit of salt, and arrange on a baking sheet. Bake until the squash starts to take on some color - 20 - 25 minutes. Allow to cool."
sourdough-galette-with-delicata-squash,"Remove the dough from the refrigerator and allow to soften for 5-10 minutes. Roll out on a lightly floured countertop (or parchment paper) until 1/4-inch thick. Transfer to a baking sheet. Spread the yogurt mixture across the galette to within an inch of the edge. Layer with the pre-roasted delicata squash and shallots, tear the mozzarella into pieces and add that as well. Finish with most of the scallions. Fold the crust edges in toward the center about an inch or so, working clockwise (see photo). Whisk the egg yolk with 2 tablespoons of water and brush the crust. Bake for 30-35 minutes or until the crust is beautifully golden."
sourdough-galette-with-delicata-squash,"Remove from the oven, and finish with toasted seeds and remaining scallions."
Recipe                         ,Instruction
golden-crusted-brussels-sprouts,Wash the brussels sprouts well. Trim the stem ends and remove any raggy outer leaves. Cut in half from stem to top and toss in a bowl with 1 tablespoon of the olive oil.
golden-crusted-brussels-sprouts,"Heat the remaining tablespoon of olive oil in your largest skillet over medium heat. Don't overheat the skillet, or the outsides of the sprouts will cook too quickly. Place the brussels sprouts in the pan flat side down (single-layer), sprinkle with a couple pinches of salt, cover, and cook for roughly 5 minutes; the bottoms of the sprouts should only show a hint of browning. Cut into or taste one of the sprouts to gauge whether they're tender throughout. If not, cover and cook for a few more minutes."
golden-crusted-brussels-sprouts,"Once just tender, uncover, turn up the heat, and cook until the flat sides are deep brown and caramelized. Use a metal spatula to toss them once or twice to get some browning on the rounded side. Season with more salt, a few grinds of pepper, and a dusting of grated cheese (or nuts). While you might be able to get away with keeping a platter of these warm in the oven for a few minutes, they are exponentially tastier if popped in your mouth immediately."
Recipe               ,Instruction
toasted-pumpkin-seeds,"Preheat your oven to 375F, and line a baking sheet with parchment paper. In a medium bowl, toss the pumpkin seeds with the olive oil and sea salt.Â "
toasted-pumpkin-seeds,"Transfer the pumpkin seeds to the prepared baking sheet in a single layer. Bake for 15-30 minutes, or until the seeds are deeply golden. A zap under a broiler is a nice finishing tough, but not necessary.Â "
toasted-pumpkin-seeds,"Remove from the oven, allow to cool for a minute or two, and enjoy plain, or stir in any of the following for some favorite variations."
Recipe                        ,Instruction
curried-tomato-tortellini-soup,"If you're using frozen spinach, set it on the counter to thaw a bit. In the meantime, heat the olive oil in a large pot over medium-high heat. Stir in the onion and cook, stirring occasionally, for 5 minutes or so, until the onion has softened a bit. Stir in the garlic, wait a minute, then add the curry powder, paprika, turmeric, and chile flakes, and stir well.Â "
curried-tomato-tortellini-soup,"Break up the tomatoes with your hands as you add them to the pot along with the tomato liquid, stir in the lentils, and the water. Cover and allow to cook for 15 minutes or so, until the lentils have cooked through. Stir in the salt, and then the tortellini. Cover and cook for another 3-5 minutes, or per package instructions - until tender and cooked through. Stir in the spinach bring back to a simmer, and serve with a dusting of cheese and a squeeze of lemon juice. If you need to thin out with a bit more water, do so, and re-season. Enjoy!"
Recipe             ,Instruction
swedish-rye-cookies,Line a couple baking sheets with parchment paper.
swedish-rye-cookies,"In a medium-sized bowl combine the flours and salt. Set aside. In an electric mixer (or by hand) beat the cream cheese until light and fluffy, add the butter and do the same, mixing until the two are well combined. Beat in the sugar and mix until well incorporated. Add the flour mixture to the butter mixture and stir only long enough to combine the two. The dough should no longer be dusty looking. Turn the dough out onto the counter, knead once or twice to bring it together, shape into a ball, flatten, wrap in plastic and chill it in a refrigerator."
swedish-rye-cookies,"Heat your oven to 350F degrees, and arrange the racks in the top and bottom thirds.. When you are ready to roll out your cookies do so on a lightly floured work surface. Roll the dough out to 1/4-inch thickness, and cut into shapes with the cookie cutter of your choice. Place on the prepared baking sheets an inch apart, and sprinkle each cookie with a bit of large-grain sugar. Bake for six or seven minutes, just until cookies are fragrant, and getting a bit golden at the edges - avoid over-baking or they will come out on the dry side. Allow to cool completely, and dust cookies with a bit of powdered sugar."
Recipe              ,Instruction
chipotle-baked-beans,"Drain and rinse the beans after their overnight soak. Then place them in a large saucepan and cover with an inch or two of water. Bring to a boil and simmer until the beans are cooked through and just tender. This can take anywhere from an hour to two hours (potentially more) depending on your beans, but do your best to avoid overcooking. Remove from heat, salt the beans (still in bean broth) with about a tablespoon of salt - enough that the bean liquid is tasty but on the salty side. Let the beans sit like this for ten minutes or so before draining and setting the beans aside."
chipotle-baked-beans,"In the meantime, place the 2 tablespoons olive oil, red pepper flakes, couple pinches of salt, and chopped garlic into a cold medium saucepan. Stir while you heat the saucepan over medium-high heat. Saute just 45 seconds or so until everything is fragrant - you don't want the garlic to brown. Stir in the tomatoes and the fresh oregano and heat to a gentle simmer, this takes just a couple minutes. Remove from heat and stir in the adobo sauce - carefully take a taste (you don't want to burn your tongue)...If the sauce needs more salt add it now, more chipotle flavor? Go for it. Set aside."
chipotle-baked-beans,"Make the cilantro pesto by combining the clove of garlic and cilantro in a food processor. Pulse while you drizzle in the olive oil - alternately, you could do this by hand. Season with a bit of salt and set aside."
chipotle-baked-beans,"Preheat the oven to 425F degrees. In a 9x13 baking pan (or large oven-proof casserole/dutch oven) toss the beans with the tomato sauce and the kale. Sprinkle with the cheese and bake in the top-third of the oven for roughly twenty-five (if you're using queso fresco) to forty minutes, I look for the cheese to start browning and any visible beans to get a bit crusty. Remove from oven and let sit for about ten minutes. Top the beans with the breadcrumbs and just before serving drizzle with the cilantro pesto."
Recipe                ,Instruction
lemon-ricotta-pancakes,"Separate the eggs and whisk the whites into stiff peaks in a clean bowl. In another bowl combine the egg yolks, ricotta, olive oil, almond flour, sugar, salt, lemon zest, and flour. Gently fold the whites into the ricotta mixture until uniform with no streaks."
lemon-ricotta-pancakes,"Place a skillet over medium-low heat, rub with a bit of olive oil, and ladle 1/4 cup of batter for each pancake. You want to cook these slow and low until golden on the bottom, a couple minutes. Flip to cook the second side until golden. This side takes less time, just a minute or so. Serve immediately or keep warm in a low temperature oven."
Recipe      ,Instruction
best-lasagna,"Preheat your oven to 375F. Start by clearing off every flat space in your kitchen, you are going to need and use all of it."
best-lasagna,Fill your biggest pot full of water and bring to a boil.
best-lasagna,"Lavishly butter a deep, square baking dish. The one I use is 8x8 and 2-inches deep."
best-lasagna,"Place the olive oil, salt, pepper flakes, and garlic in a pan. Dial the heat up and saute for a minute or two. Add the tomatoes and slowly bring to a simmer as well. Remove from heat, stir in the lemon zest and taste for seasoning. Add more salt if needed. Set aside."
best-lasagna,"Thin out your pasta using a pasta machine. Start by cutting the big sheets into 2-inch(ish) wide ribbons. This usually means making 2 cuts along the sheets. This should yield you about 12 2-foot strips. Run them through the pasta machine. I go to the 7 setting, two shy of the very thinnest setting. The sheets should almost be translucent. Cut the strips into manageable rectangles roughly 4-inches in length."
best-lasagna,"To pre-cook the pasta, fill a large bowl with ice cold water and a few glugs of olive oil. Place a large flour sack or cotton dish towel across one of your counters. Salt your pot of boiling water generously. Ok, now you are ready to boil off your pasta. Believe it or not, you are on the home stretch. Place a handful of the pasta rectangles into the boiling water to cook (I've found I can get away with about 20 at a time), fish them out (I use a spider) after just 15-20 seconds, don't over cook. Transfer them immediately to the cold olive-oil water for a quick swim and cool-off. Remove from the cold water bath and place flat and neat on the cotton towel. It is ok for them to overlap, I don't have a problem with the sheets sticking typically. Repeat until all your pasta is boiled."
best-lasagna,"Ladle a bit of the sauce into the bottom of the prepared baking dish. Cover the bottom with a layer of pasta sheets. Now a thin layer of sauce, and a bit of cheese. Go for another layer of pasta, then sauce, then pasta again, then sauce and cheese. Keep going until you've used up all the sauce and pasta. You want to finish with a layer of pasta. Top with the last of the sauce and the very last of the cheese so you have a nice cheesy top."
best-lasagna,"Bake until everything is melted and fragrant, 35 minutes or so. Let it sit for 10 minutes before serving, so everything has a chance to set up a bit. Dust with parmesan and a bit of slivered basil."
Recipe        ,Instruction
olive-oil-cake,"Preheat the oven to 350F / 175C. Rub a 9 1/2-inch (24 cm) fluted tart pan, or equivalent, with olive oil (and/or line with parchment paper)."
