,Name,Price,Review_num,Star,Address,Menu,Menu_link_re,Menu_link_ye,Time
0,Thursday Kitchen,$$,1471 reviews,4.5 star rating,"['Thursday Kitchen\n1471 reviews\nClaimed\n$$ Korean, American (New), Tapas/Small Plates\nEdit\nClosed6:00 PM - 11:00 PM\nHours updated 2 weeks ago', '1471 reviews', 'Hours updated 2 weeks ago', '', 'Menu', 'Location & Hours', '424 E 9th St\nNew York, NY 10009\nEast 9th St & Avenue A\nEast Village, Alphabet City\nGet directions', '424 E 9th St\nNew York, NY 10009\nEast 9th St & Avenue A\nEast Village, Alphabet City', 'Mon\n6:00 PM - 11:00 PM\nTue\n6:00 PM - 11:00 PM\nClosed now\nWed\n6:00 PM - 11:00 PM\nThu\n6:00 PM - 12:00 AM (Next day)\nFri\n5:00 PM - 12:00 AM (Next day)\nSat\n12:00 PM - 3:00 PM\n5:00 PM - 12:00 AM (Next day)\nSun\n12:00 PM - 3:00 PM\n5:00 PM - 11:00 PM\nEdit business info\nUpcoming Special Hours\nThu 2021-11-25\nClosed', 'Amenities and More', 'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Masks required', 'Ask the Community', 'Outdoor seating available?', ""Yes! Have been twice and it's lovely.\nLaurel F.  1 year ago 1 person found this helpful\nView 1 more answer"", 'Is this safe for a peanut and soy allergy?', ""Depends on the dish, they always ask if their are any allergy's.\nKevin W.  2 years ago\nView question details"", 'thursdaykitchen.com', 'Get Directions\n424 E 9th St New York, NY 10009', '', 'Frequently Asked Questions about Thursday Kitchen']",['Truffle Mac\n295 Photos 482 Reviews\nKimchi Paella\n151 Photos 351 Reviews\nEdamame Dumplings\n98 Photos 249 Reviews\nSoft Shell Crab\n99 Photos 190 Reviews\nCrispy Chicken\n97 Photos 158 Reviews\nEel Tacos\n109 Photos 132 Reviews\nKorean Popcorn Chicken\n59 Photos 120 Reviews\nMac N Cheese Heaven\n42 Photos 92 Reviews\nKitchen Edamame Dumpling\n57 Photos 45 Reviews\nTuna Tataki\n56 Photos 72 Reviews'],https://www.thursdaykitchen.com/menu,,6:00 PM - 11:00 PM
1,The Cabin NYC,$$,348 reviews,4 star rating,"['The Cabin NYC\n348 reviews\nClaimed\n$$ American (New), Cocktail Bars, Breakfast & Brunch\nEdit\nClosed4:00 PM - 10:00 PM\nHours updated 2 months ago', '348 reviews', 'Hours updated 2 months ago', '', 'Menu', 'Location & Hours', '205 E 4th St\nNew York, NY 10009\nAvenue B & Avenue A\nEast Village, Alphabet City\nGet directions', '205 E 4th St\nNew York, NY 10009\nAvenue B & Avenue A\nEast Village, Alphabet City', 'Mon\nClosed\nTue\n4:00 PM - 10:00 PM\nClosed now\nWed\n4:00 PM - 12:00 AM (Next day)\nThu\n4:00 PM - 1:00 AM (Next day)\nFri\n4:00 PM - 2:00 AM (Next day)\nSat\n11:00 AM - 2:00 AM (Next day)\nSun\n11:00 AM - 12:00 AM (Next day)\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'COVID-19 updates', 'Ask the Community', ""What's the noise level? I'm looking for a place that's quiet enough to talk."", ""It's pretty normal restaurant noise. The music wasn't too loud. I could have a conversation with the people on both sides of me clearly. It's also a small place.\nBrittany B.  2 months ago 1 person found this helpful\nView 2 more answers"", 'Is there an unlimited boozy brunch?', 'When I went which was about a month and half ago there was not unlimited. They had a special that you could get three brunch drinks for $10 if you ordered a meal\nJulie T.  2 months ago\nView question details', 'thecabinnyc.com', '(212) 777-0454', 'Get Directions\n205 E 4th St New York, NY 10009', '', 'Frequently Asked Questions about The Cabin NYC']","[""$17.00\nFried Chicken\n19 Photos 48 Reviews\n$13.00\nGlazed Bacon Steak\n8 Photos 6 Reviews\n$15.00\nCrispy Brussels\n2 Photos 9 Reviews\n$13.00\nDeconstructed Apple Pie\n2 Photos 9 Reviews\n$13.00\nBacon Wrapped Dates\n3 Photos 6 Reviews\n$16.00\nVeggie Burger\n3 Photos 5 Reviews\n$13.00\nS'mores\n4 Photos 5 Reviews\n$14.00\nBurrata\n1 Photo 4 Reviews""]",https://thecabinnyc.com/menu,https://www.yelp.com/menu/the-cabin-nyc-new-york-2,4:00 PM - 10:00 PM
2,Amélie,$$$,2757 reviews,4.5 star rating,"['Amélie\n2757 reviews\nClaimed\n$$$ French, Wine Bars\nEdit\nClosed5:00 PM - 11:00 PM\nHours updated 3 months ago', '2757 reviews', 'Hours updated 3 months ago', '', 'Menu', 'Location & Hours', '22 W 8th St\nNew York, NY 10011\n5th Ave & Mac Dougal St\nGreenwich Village\nGet directions', '22 W 8th St\nNew York, NY 10011\n5th Ave & Mac Dougal St\nGreenwich Village', 'Mon\n5:00 PM - 11:00 PM\nTue\n5:00 PM - 11:00 PM\nClosed now\nWed\n5:00 PM - 11:00 PM\nThu\n12:00 PM - 11:00 PM\nFri\n12:00 PM - 12:00 AM (Next day)\nSat\n12:00 PM - 12:00 AM (Next day)\nSun\n12:00 PM - 11:00 PM\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required', 'Ask the Community', 'What time does Happy Hour start on Saturdays?', ""Hi Michelle, The snack start at 4 pm until 7 pm and the flight of wine it's all day until 7 pm. weekend Happy hour only at the bar or cross bar. … more\nGermain M., Business Owner  2 years ago 2 people found this helpful\nView 1 more answer"", 'Will they make baked goods to order? I am looking for a bakery that will make a clafoutis for a special event', 'Hi, Unfortunately we do not do this type of patisserie, But you can Pâtisserie claude… more\nSamie Germain D., Business Owner  2 years ago\nView 1 more answer', 'ameliewinebar.com', '(212) 533-2962', 'Get Directions\n22 W 8th St New York, NY 10011', '', 'Frequently Asked Questions about Amélie']",['$30.00\nHudson Valley Duck Leg Confit\n72 Photos 145 Reviews\n$17.00\nSmoked Salmon Tartine\n19 Photos 37 Reviews\n$12.00\nOnion Soup Gratinee\n15 Photos 55 Reviews\n$18.00\nGrilled Octopus\n17 Photos 41 Reviews\n$28.00\nCoq Au Vin\n9 Photos 32 Reviews\n$17.00\nCrab Tartine\n11 Photos 32 Reviews\n$17.00\nRoasted Beets Salad\n2 Photos 32 Reviews'],https://www.ameliewinebar.com/menu-west-village,https://www.yelp.com/menu/am%C3%A9lie-new-york,5:00 PM - 11:00 PM
3,Raku,$$,548 reviews,4.5 star rating,"['Raku\n548 reviews\nClaimed\n$$ Japanese, Noodles\nEdit\nClosed12:00 PM - 9:30 PM\nHours updated 1 month ago', '548 reviews', 'Hours updated 1 month ago', '', 'Menu', 'Most mentioned dishes', 'Location & Hours', '48 Macdougal St\nNew York, NY 10012\nSouth Village\nGet directions', '48 Macdougal St\nNew York, NY 10012\nSouth Village', 'Mon\nClosed\nTue\n12:00 PM - 9:30 PM\nClosed now\nWed\n12:00 PM - 9:30 PM\nThu\n12:00 PM - 9:30 PM\nFri\n12:00 PM - 9:30 PM\nSat\n12:00 PM - 9:30 PM\nSun\n12:00 PM - 9:30 PM\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Proof of vaccination required', 'Ask the Community', 'Are there gluten free options?', 'No answers yet. Answer this question', 'Is there a yelp waitlist I can join if there are no reservation times that are convenient?', ""There is a waitlist at door but nothing online. Leave your cellphone number and they'll text you\nNathan C.  2 years ago\nView question details"", 'rakunyc.com', '(212) 989-4797', 'Get Directions\n48 Macdougal St New York, NY 10012', '', 'Things to do in New York', 'Japanese Food Near Me', 'Noodles Near Me', 'Teriyaki Chicken Near Me', 'Asian Food New York', 'Japanese Food New York', 'Japanese Restaurant New York', 'Restaurants', 'Nightlife', 'Shopping', 'Show all', 'Search for Reservations', 'Book a Table in New York', 'Find more Japanese Restaurants near Raku', 'Find more Noodles near Raku', 'Frequently Asked Questions about Raku']",['$20.00\nNiku Udon\n49 Photos 77 Reviews\n$10.00\nChicken Tatsuta-age\n68 Photos 45 Reviews\n$16.00\nCurry Udon\n28 Photos 29 Reviews\n$8.00\nAgedashi Tofu\n23 Photos 30 Reviews\n$6.00\nShrimp Tempura\n23 Photos 32 Reviews\n$14.00\nSabazushi\n25 Photos 18 Reviews\n$19.00\nGyunan Udon\n27 Photos 19 Reviews\n$15.00\nSansai Udon\n15 Photos 13 Reviews\n$17.00\nTantan Udon\n19 Photos 12 Reviews\n$16.00\nChawanmushi\n8 Photos 16 Reviews'],https://rakunyc.com/pages/menu-soho,https://www.yelp.com/menu/raku-new-york-6,12:00 PM - 9:30 PM
4,Olio e Piú,$$,2863 reviews,4.5 star rating,"['Olio e Piú\n2863 reviews\nClaimed\n$$ Pizza, Italian, Cocktail Bars\nEdit\nOpen11:00 AM - 12:00 AM (Next day)\nHours updated 3 months ago', '2863 reviews', 'Hours updated 3 months ago', '', 'Menu', 'Location & Hours', '3 Greenwich Ave\nNew York, NY 10014\nChristopher St & 10th St\nGet directions', '3 Greenwich Ave\nNew York, NY 10014\nChristopher St & 10th St', 'Mon\n11:00 AM - 12:00 AM (Next day)\nTue\n11:00 AM - 12:00 AM (Next day)\nOpen now\nWed\n11:00 AM - 12:00 AM (Next day)\nThu\n11:00 AM - 12:00 AM (Next day)\nFri\n11:00 AM - 12:00 AM (Next day)\nSat\n10:00 AM - 12:00 AM (Next day)\nSun\n10:00 AM - 12:00 AM (Next day)\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Proof of vaccination required', 'COVID-19 updates', 'Ask the Community', ""I'm strictly no pork . Does the bolognese sauce have pork / sausage in it. I know the menu says made in the traditional way but each restaurant I go to does it a different way?"", 'Hello, yes has pork, is the traditional recipe. Have a wonderful day!\nAlex G., Business Manager  5 months ago 1 person found this helpful\nView question details', 'Do they take cash or only cards?', 'They take both.\nVanessa J.  6 months ago 1 person found this helpful\nView 1 more answer', 'olioepiu.nyc', '(212) 243-6546', 'Get Directions\n3 Greenwich Ave New York, NY 10014', '', 'Frequently Asked Questions about Olio e Piú']",['$13.00\nTiramisu\n104 Photos 174 Reviews\n$26.00\nSpaghetti Chitarra Alla Carbonara\n235 Photos 85 Reviews\n$21.00\nMargherita\n61 Photos 109 Reviews\n$26.00\nTagliatelle Bolognese\n48 Photos 71 Reviews\nBurrata\n39 Photos 85 Reviews\n$19.00\nNutella Calzone\n44 Photos 65 Reviews\n$15.00\nBruschetta Ricotta\n49 Photos 38 Reviews\n$27.00\nFusilli E Manzo\n31 Photos 31 Reviews\n$23.00\nCaprese\n17 Photos 57 Reviews\n$28.00\nFritto Misto\n45 Photos 38 Reviews'],,https://www.yelp.com/menu/olio-e-pi%C3%BA-new-york-city,11:00 AM - 12:00 AM (Next day)
5,Joe's Shanghai,$$,6475 reviews,4 star rating,"[""Joe's Shanghai\n6475 reviews\nClaimed\n$$ Shanghainese, Seafood, Noodles\nEdit\nClosed11:00 AM - 11:00 PM\nHours updated over 3 months ago"", '6475 reviews', 'Hours updated over 3 months ago', '', 'Menu', 'Location & Hours', '46 Bowery St\nNew York, NY 10013\nCanal St & Bayard St\nChinatown\nGet directions', '46 Bowery St\nNew York, NY 10013\nCanal St & Bayard St\nChinatown', 'Mon\n11:00 AM - 11:00 PM\nTue\n11:00 AM - 11:00 PM\nClosed now\nWed\n11:00 AM - 11:00 PM\nThu\n11:00 AM - 11:00 PM\nFri\n11:00 AM - 11:00 PM\nSat\n11:00 AM - 11:00 PM\nSun\n11:00 AM - 11:00 PM\nEdit business info', 'Amenities and More', 'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Staff wears masks', 'Ask the Community', 'Is the restrooms available?', 'Yes\nNathalia Z.  8 months ago\nView question details', 'Do they have vegan options?', 'Yes\nDrew L.  2 years ago\nView question details', 'joeshanghairestaurants.com', '(212) 233-8888', 'Get Directions\n46 Bowery St New York, NY 10013', '', ""Frequently Asked Questions about Joe's Shanghai""]",[],http://www.joeshanghairestaurants.com/assets/files/JoeShanghaiMenu2019.pdf,https://www.yelp.com/menu/joes-shanghai-new-york-2,11:00 AM - 11:00 PM
6,Jane,$$,3232 reviews,4 star rating,"['Jane\n3232 reviews\nClaimed\n$$ Breakfast & Brunch, American (New), Bars\nEdit\nClosed11:30 AM - 10:00 PM', '3232 reviews', '', 'Menu', 'Location & Hours', '100 W Houston St\nNew York, NY 10012\nThompson St & Broadway\nGreenwich Village\nGet directions', '100 W Houston St\nNew York, NY 10012\nThompson St & Broadway\nGreenwich Village', 'Mon\n11:30 AM - 10:00 PM\nTue\n11:30 AM - 10:00 PM\nClosed now\nWed\n11:30 AM - 10:00 PM\nThu\n11:30 AM - 10:00 PM\nFri\n11:30 AM - 10:00 PM\nSat\n9:00 AM - 10:00 PM\nSun\n9:00 AM - 10:00 PM\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'Ask the Community', 'Do you guys serve breakfast or brunch during the weekdays?', 'Hello Nes, yes we do serve breakfast every of the week with Brunch in weekends. We also have specials brunch items on our weekday breakfast menu. We look forward to seeing you!\nSam K., Business Owner  2 years ago\nView question details', 'Would I be able to order an individual mimosa? I see on the menu it says they have a mimosa carafe but I would just like one mimosa.', 'yes\nLeen A.  2 years ago\nView question details', 'janerestaurant.com', '(212) 254-7000', 'Get Directions\n100 W Houston St New York, NY 10012', '', 'Frequently Asked Questions about Jane']",['French Toast\n289 Photos 1008 Reviews\nEggs Benedict\n100 Photos 451 Reviews\nBenedict Johnny\n103 Photos 252 Reviews\nPoached Eggs\n33 Photos 209 Reviews\nToasted Ricotta Gnocchi\n24 Photos 78 Reviews\nAvocado Toast\n45 Photos 71 Reviews\nRoasted Tomato Benedict\n13 Photos 56 Reviews\nShort Ribs Benedict\n28 Photos 62 Reviews\nLobster Benny\n22 Photos 68 Reviews\nBread Basket\n9 Photos 97 Reviews'],https://janerestaurant.com/menus/,https://www.yelp.com/menu/jane-new-york-2,11:30 AM - 10:00 PM
7,Raku,$$,1218 reviews,4.5 star rating,"['Raku\n1218 reviews\nClaimed\n$$ Japanese, Noodles\nEdit\nClosed12:00 PM - 9:30 PM\nHours updated 2 months ago', '1218 reviews', 'Hours updated 2 months ago', '', 'Menu', 'Location & Hours', '342 E 6th St\nNew York, NY 10003\n1st Ave & 2nd Ave\nEast Village\nGet directions', '342 E 6th St\nNew York, NY 10003\n1st Ave & 2nd Ave\nEast Village', 'Mon\nClosed\nTue\n12:00 PM - 9:30 PM\nClosed now\nWed\n12:00 PM - 9:30 PM\nThu\n12:00 PM - 9:30 PM\nFri\n12:00 PM - 10:00 PM\nSat\n12:00 PM - 10:00 PM\nSun\n12:00 PM - 9:30 PM\nEdit business info', 'Amenities and More', 'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Proof of vaccination required', 'Ask the Community', 'Is this place BYOB?', 'No answers yet. Answer this question', 'Any heat for outdoor dining?', ""I believe they have the space heaters! They've created more covering compared to last time- so much cuter and sturdier\nShirley Z.  10 months ago 1 person found this helpful\nView question details"", 'rakunyc.com', '(212) 228-1324', 'Get Directions\n342 E 6th St New York, NY 10003', '', 'Frequently Asked Questions about Raku']",['Niku Udon\n205 Photos 285 Reviews\nUdon Noodles\n13 Photos 218 Reviews\nFried Chicken\n58 Photos 166 Reviews\nChicken Tatsuta Age\n65 Photos 77 Reviews\nHoneycomb Tripe\n22 Photos 99 Reviews\nCurry Udon\n52 Photos 97 Reviews\nBeef Short Ribs\n25 Photos 62 Reviews\nAgedashi Tofu\n32 Photos 49 Reviews\nVegetable Tempura Udon\n27 Photos 47 Reviews\nBeef Udon\n24 Photos 49 Reviews'],https://rakunyc.com/pages/menu-east-village,,12:00 PM - 9:30 PM
8,Da Andrea,$$,1000 reviews,4 star rating,"['Da Andrea\n1000 reviews\nClaimed\n$$ Tuscan\nEdit\nClosed11:30 AM - 10:00 PM', '1000 reviews', '', 'Menu', 'Location & Hours', '35 W 13th St\nNew York, NY 10011\nAvenue Of The Americas & 5th Ave\nGreenwich Village\nGet directions', '35 W 13th St\nNew York, NY 10011\nAvenue Of The Americas & 5th Ave\nGreenwich Village', 'Mon\n11:30 AM - 10:00 PM\nTue\n11:30 AM - 10:00 PM\nClosed now\nWed\n11:30 AM - 10:00 PM\nThu\n11:30 AM - 10:00 PM\nFri\n11:30 AM - 11:00 PM\nSat\n11:00 AM - 11:00 PM\nSun\n11:00 AM - 10:00 PM\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'COVID-19 updates', 'Ask the Community', 'daandreanyc.com', '(212) 367-1979', 'Get Directions\n35 W 13th St New York, NY 10011', '', 'Frequently Asked Questions about Da Andrea']",['Veal and Spinach Ravioli\n8 Photos 29 Reviews\nWarm Octopus Salad\n7 Photos 40 Reviews\nFlat Buns\n7 Photos 40 Reviews\nSquid Ink Pasta\n13 Photos 42 Reviews\nHomemade Pasta\n1 Photo 56 Reviews\nArtichoke Ravioli\n6 Photos 30 Reviews\nSpaghetti Bolognese\n6 Photos 19 Reviews\nSquid Ink Tagliolini\n4 Photos 18 Reviews\nLamb Shank\n6 Photos 24 Reviews\nStuffed Chicken Breast\n3 Photos 18 Reviews'],https://www.daandreanyc.com/-menu,https://www.yelp.com/menu/da-andrea-new-york,11:30 AM - 10:00 PM
9,Rubirosa,$$,2479 reviews,4.5 star rating,"['Rubirosa\n2479 reviews\nClaimed\n$$ Italian, Pizza\nEdit\nOpen12:00 PM - 12:00 AM (Next day)\nHours updated over 3 months ago', '2479 reviews', 'Hours updated over 3 months ago', '', 'Menu', 'Location & Hours', '235 Mulberry St\nNew York, NY 10012\nSpring St & Prince St\nNolita\nGet directions', '235 Mulberry St\nNew York, NY 10012\nSpring St & Prince St\nNolita', 'Mon\n12:00 PM - 12:00 AM (Next day)\nTue\n12:00 PM - 12:00 AM (Next day)\nOpen now\nWed\n12:00 PM - 12:00 AM (Next day)\nThu\n12:00 PM - 12:00 AM (Next day)\nFri\n12:00 PM - 12:00 AM (Next day)\nSat\n12:00 PM - 12:00 AM (Next day)\nSun\n12:00 PM - 12:00 AM (Next day)\nEdit business info', 'Amenities and More', 'Takes Reservations', 'Vegan Options', 'Many Vegetarian Options', 'Accepts Credit Cards', 'Ask the Community', 'How does Rubirosa price pies that are half of one kind and half of another?', ""They'll charge you the cost of the more expensive half\nLeslie T.  1 month ago 1 person found this helpful\nView question details"", 'Is there any meat in the vodka sauce?', ""I've had it a few times and as far as I can tell there is no meat. Don't skip out on this place as everything is incredibly delicious.\nAndrew D.  7 months ago 1 person found this helpful\nView question details"", 'rubirosanyc.com', '(212) 965-0500', 'Get Directions\n235 Mulberry St New York, NY 10012', '', 'Frequently Asked Questions about Rubirosa']",['$17.00\nMeatballs\n85 Photos 290 Reviews\n$15.00\nArugula Salad\n21 Photos 69 Reviews\n$21.00\nCavatelli\n23 Photos 63 Reviews\n$20.00\nRigatoni\n32 Photos 51 Reviews\n$16.00\nTiramisu\n13 Photos 40 Reviews\n$16.00\nCaesar Salad\n9 Photos 36 Reviews\n$18.00\nRicotta Ravioli\n10 Photos 27 Reviews'],http://www.rubirosanyc.com/#menus,https://www.yelp.com/menu/rubirosa-new-york-2,12:00 PM - 12:00 AM (Next day)
