,Name,Price,Menu,Menu_link_re,Menu_link_ye,Review_new,Star_new,Address_new,OpenTime_new,Amentities
0,Thursday Kitchen,"Moderate, 11 to 30","Truffle Mac,Kimchi Paella,Edamame Dumplings,Soft Shell Crab,Crispy Chicken,Eel Tacos,Korean Popcorn Chicken,Mac N Cheese Heaven,Kitchen Edamame Dumpling,Tuna Tataki",https://www.thursdaykitchen.com/menu,,1471,4.5,"424 E 9th St\nNew York, NY 10009\nEast 9th St & Avenue A\nEast Village, Alphabet City\n",Mon\n6:00 PM - 11:00 PM\nTue\n6:00 PM - 11:00 PM\nWed\n6:00 PM - 11:00 PM\nThu\n6:00 PM - 12:00 AM\nFri\n5:00 PM - 12:00 AM\nSat\n12:00 PM - 3:00 PM\n5:00 PM - 12:00 AM\nSun\n12:00 PM - 3:00 PM\n5:00 PM - 11:00 PM\n,"'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Masks required'"
1,The Cabin NYC,"Moderate, 11 to 30","Fried Chicken,Glazed Bacon Steak,Crispy Brussels,Deconstructed Apple Pie,Bacon Wrapped Dates,Veggie Burger,S'mores,Burrata",https://thecabinnyc.com/menu,https://www.yelp.com/menu/the-cabin-nyc-new-york-2,348,4,"205 E 4th St\nNew York, NY 10009\nAvenue B & Avenue A\nEast Village, Alphabet City\n",Mon\nClosed\nTue\n4:00 PM - 10:00 PM\nWed\n4:00 PM - 12:00 AM\nThu\n4:00 PM - 1:00 AM\nFri\n4:00 PM - 2:00 AM\nSat\n11:00 AM - 2:00 AM\nSun\n11:00 AM - 12:00 AM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'COVID-19 updates'"
2,Amélie,"Spendy, 31 to 60","Hudson Valley Duck Leg Confit,Smoked Salmon Tartine,Onion Soup Gratinee,Grilled Octopus,Coq Au Vin,Crab Tartine,Roasted Beets Salad",https://www.ameliewinebar.com/menu-west-village,https://www.yelp.com/menu/am%C3%A9lie-new-york,2757,4.5,"22 W 8th St\nNew York, NY 10011\n5th Ave & Mac Dougal St\nGreenwich Village\n",Mon\n5:00 PM - 11:00 PM\nTue\n5:00 PM - 11:00 PM\nWed\n5:00 PM - 11:00 PM\nThu\n12:00 PM - 11:00 PM\nFri\n12:00 PM - 12:00 AM\nSat\n12:00 PM - 12:00 AM\nSun\n12:00 PM - 11:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required'"
3,Raku,"Moderate, 11 to 30","Niku Udon,Chicken Tatsuta-age,Curry Udon,Agedashi Tofu,Shrimp Tempura,Sabazushi,Gyunan Udon,Sansai Udon,Tantan Udon,Chawanmushi",https://rakunyc.com/pages/menu-soho,https://www.yelp.com/menu/raku-new-york-6,548,4.5,"48 Macdougal St\nNew York, NY 10012\nSouth Village\n",Mon\nClosed\nTue\n12:00 PM - 9:30 PM\nWed\n12:00 PM - 9:30 PM\nThu\n12:00 PM - 9:30 PM\nFri\n12:00 PM - 9:30 PM\nSat\n12:00 PM - 9:30 PM\nSun\n12:00 PM - 9:30 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Proof of vaccination required'"
4,Olio e Piú,"Moderate, 11 to 30","Tiramisu,Spaghetti Chitarra Alla Carbonara,Margherita,Tagliatelle Bolognese,Burrata,Nutella Calzone,Bruschetta Ricotta,Fusilli E Manzo,Caprese,Fritto Misto",,https://www.yelp.com/menu/olio-e-pi%C3%BA-new-york-city,2863,4.5,"3 Greenwich Ave\nNew York, NY 10014\nChristopher St & 10th St\n",Mon\n11:00 AM - 12:00 AM\nTue\n11:00 AM - 12:00 AM\nOpen now\nWed\n11:00 AM - 12:00 AM\nThu\n11:00 AM - 12:00 AM\nFri\n11:00 AM - 12:00 AM\nSat\n10:00 AM - 12:00 AM\nSun\n10:00 AM - 12:00 AM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Proof of vaccination required', 'COVID-19 updates'"
5,Joe's Shanghai,"Moderate, 11 to 30",,http://www.joeshanghairestaurants.com/assets/files/JoeShanghaiMenu2019.pdf,https://www.yelp.com/menu/joes-shanghai-new-york-2,6475,4,"46 Bowery St\nNew York, NY 10013\nCanal St & Bayard St\nChinatown\n",Mon\n11:00 AM - 11:00 PM\nTue\n11:00 AM - 11:00 PM\nWed\n11:00 AM - 11:00 PM\nThu\n11:00 AM - 11:00 PM\nFri\n11:00 AM - 11:00 PM\nSat\n11:00 AM - 11:00 PM\nSun\n11:00 AM - 11:00 PM\n,"'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Staff wears masks'"
6,Jane,"Moderate, 11 to 30","French Toast,Eggs Benedict,Benedict Johnny,Poached Eggs,Toasted Ricotta Gnocchi,Avocado Toast,Roasted Tomato Benedict,Short Ribs Benedict,Lobster Benny,Bread Basket",https://janerestaurant.com/menus/,https://www.yelp.com/menu/jane-new-york-2,3232,4,"100 W Houston St\nNew York, NY 10012\nThompson St & Broadway\nGreenwich Village\n",Mon\n11:30 AM - 10:00 PM\nTue\n11:30 AM - 10:00 PM\nWed\n11:30 AM - 10:00 PM\nThu\n11:30 AM - 10:00 PM\nFri\n11:30 AM - 10:00 PM\nSat\n9:00 AM - 10:00 PM\nSun\n9:00 AM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks'"
7,Raku,"Moderate, 11 to 30","Niku Udon,Udon Noodles,Fried Chicken,Chicken Tatsuta Age,Honeycomb Tripe,Curry Udon,Beef Short Ribs,Agedashi Tofu,Vegetable Tempura Udon,Beef Udon",https://rakunyc.com/pages/menu-east-village,,1218,4.5,"342 E 6th St\nNew York, NY 10003\n1st Ave & 2nd Ave\nEast Village\n",Mon\nClosed\nTue\n12:00 PM - 9:30 PM\nWed\n12:00 PM - 9:30 PM\nThu\n12:00 PM - 9:30 PM\nFri\n12:00 PM - 10:00 PM\nSat\n12:00 PM - 10:00 PM\nSun\n12:00 PM - 9:30 PM\n,"'Offers Delivery', 'Offers Takeout', 'No Reservations', 'Proof of vaccination required'"
8,Da Andrea,"Moderate, 11 to 30","Veal and Spinach Ravioli,Warm Octopus Salad,Flat Buns,Squid Ink Pasta,Homemade Pasta,Artichoke Ravioli,Spaghetti Bolognese,Squid Ink Tagliolini,Lamb Shank,Stuffed Chicken Breast",https://www.daandreanyc.com/-menu,https://www.yelp.com/menu/da-andrea-new-york,1000,4,"35 W 13th St\nNew York, NY 10011\nAvenue Of The Americas & 5th Ave\nGreenwich Village\n",Mon\n11:30 AM - 10:00 PM\nTue\n11:30 AM - 10:00 PM\nWed\n11:30 AM - 10:00 PM\nThu\n11:30 AM - 10:00 PM\nFri\n11:30 AM - 11:00 PM\nSat\n11:00 AM - 11:00 PM\nSun\n11:00 AM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Staff wears masks', 'COVID-19 updates'"
9,Rubirosa,"Moderate, 11 to 30","Meatballs,Arugula Salad,Cavatelli,Rigatoni,Tiramisu,Caesar Salad,Ricotta Ravioli",http://www.rubirosanyc.com/#menus,https://www.yelp.com/menu/rubirosa-new-york-2,2479,4.5,"235 Mulberry St\nNew York, NY 10012\nSpring St & Prince St\nNolita\n",Mon\n12:00 PM - 12:00 AM\nTue\n12:00 PM - 12:00 AM\nOpen now\nWed\n12:00 PM - 12:00 AM\nThu\n12:00 PM - 12:00 AM\nFri\n12:00 PM - 12:00 AM\nSat\n12:00 PM - 12:00 AM\nSun\n12:00 PM - 12:00 AM\n,"'Takes Reservations', 'Vegan Options', 'Many Vegetarian Options', 'Accepts Credit Cards'"
10,Wayla,"Moderate, 11 to 30","Grilled Tofu Pad Thai,Khao Pad Kra Prow Nua,Khao Mung Gai Tod",,https://www.yelp.com/menu/wayla-new-york,417,4.5,"100 Forsyth St\nBasement\nNew York, NY 10002\nBroome St & Grand St\nLower East Side\n",Mon\n5:00 PM - 10:00 PM\nTue\n5:00 PM - 10:00 PM\nWed\n5:00 PM - 10:00 PM\nThu\n5:00 PM - 10:00 PM\nFri\n5:00 PM - 10:00 PM\nSat\n12:00 PM - 3:30 PM\n5:00 PM - 10:00 PM\nSun\n12:00 PM - 3:30 PM\n5:00 PM - 10:00 PM\n,"'Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Masks required'"
