,Name,href
0,Thursday Kitchen,https://www.yelp.com/biz/thursday-kitchen-new-york
1,The Cabin NYC,https://www.yelp.com/biz/the-cabin-nyc-new-york-2
2,Amélie,https://www.yelp.com/biz/am%C3%A9lie-new-york
3,Raku,https://www.yelp.com/biz/raku-new-york-6
4,Olio e Piú,https://www.yelp.com/biz/olio-e-pi%C3%BA-new-york-city
5,Joe’s Shanghai,https://www.yelp.com/biz/joes-shanghai-new-york-2
6,Jane,https://www.yelp.com/biz/jane-new-york-2
7,Raku,https://www.yelp.com/biz/raku-new-york-7
8,Da Andrea,https://www.yelp.com/biz/da-andrea-new-york
9,Rubirosa,https://www.yelp.com/biz/rubirosa-new-york-2
10,Rubirosa,https://www.yelp.com/biz/rubirosa-new-york-2
11,Wayla,https://www.yelp.com/biz/wayla-new-york
12,LoveMama,https://www.yelp.com/biz/lovemama-new-york
13,AlMar,https://www.yelp.com/biz/almar-brooklyn-2
14,Thai Villa,https://www.yelp.com/biz/thai-villa-new-york-2
15,Pastis,https://www.yelp.com/biz/pastis-new-york-3
16,Anytime,https://www.yelp.com/biz/anytime-new-york
17,YUBU,https://www.yelp.com/biz/yubu-new-york
18,Boqueria Soho,https://www.yelp.com/biz/boqueria-soho-new-york-2
19,JeJu Noodle Bar,https://www.yelp.com/biz/jeju-noodle-bar-new-york
20,Benemon,https://www.yelp.com/biz/benemon-new-york
21,Malibu Farm,https://www.yelp.com/biz/malibu-farm-new-york-2
22,The Wild Son,https://www.yelp.com/biz/the-wild-son-new-york
23,Time Out Market New York,https://www.yelp.com/biz/time-out-market-new-york-brooklyn
24,Kong Sihk Tong 港食堂,https://www.yelp.com/biz/kong-sihk-tong-%E6%B8%AF%E9%A3%9F%E5%A0%82-new-york
25,La Cabra NYC,https://www.yelp.com/biz/la-cabra-nyc-new-york
26,Leland Eating and Drinking House,https://www.yelp.com/biz/leland-eating-and-drinking-house-brooklyn
27,Win Son,https://www.yelp.com/biz/win-son-brooklyn-4
28,Pig and Khao,https://www.yelp.com/biz/pig-and-khao-new-york
29,Juliana’s,https://www.yelp.com/biz/julianas-brooklyn-3
30,Pig and Khao,https://www.yelp.com/biz/pig-and-khao-new-york
31,Juliana’s,https://www.yelp.com/biz/julianas-brooklyn-3
32,Fishmarket Restaurant,https://www.yelp.com/biz/fishmarket-restaurant-new-york
33,Atrium Dumbo,https://www.yelp.com/biz/atrium-dumbo-brooklyn
34,The Tyger,https://www.yelp.com/biz/the-tyger-new-york-2
35,Olmsted,https://www.yelp.com/biz/olmsted-brooklyn
36,Ugly Baby,https://www.yelp.com/biz/ugly-baby-brooklyn-3
37,Fish Cheeks,https://www.yelp.com/biz/fish-cheeks-new-york
38,Nura,https://www.yelp.com/biz/nura-brooklyn-2
39,Otis,https://www.yelp.com/biz/otis-brooklyn-2
40,Blue Willow 夜来湘,https://www.yelp.com/biz/blue-willow-%E5%A4%9C%E6%9D%A5%E6%B9%98-new-york-2
41,The Osprey,https://www.yelp.com/biz/the-osprey-brooklyn
42,Gelso & Grand,https://www.yelp.com/biz/gelso-and-grand-new-york
43,Soothr,https://www.yelp.com/biz/soothr-new-york-2
44,Sunday in Brooklyn,https://www.yelp.com/biz/sunday-in-brooklyn-brooklyn-3
45,Celestine,https://www.yelp.com/biz/celestine-brooklyn
46,Ruby’s Cafe – East Village,https://www.yelp.com/biz/rubys-cafe-east-village-new-york
47,Claro,https://www.yelp.com/biz/claro-brooklyn
48,Kimika,https://www.yelp.com/biz/kimika-new-york
49,Wah Fung No 1,https://www.yelp.com/biz/wah-fung-no-1-new-york-2
50,Wah Fung No 1,https://www.yelp.com/biz/wah-fung-no-1-new-york-2
51,Crown Shy,https://www.yelp.com/biz/crown-shy-new-york-2
52,Lilia,https://www.yelp.com/biz/lilia-brooklyn
53,Westville Dumbo,https://www.yelp.com/biz/westville-dumbo-brooklyn
54,Sereneco,https://www.yelp.com/biz/sereneco-brooklyn
55,Don Angie,https://www.yelp.com/biz/don-angie-new-york
56,Carne Mare,https://www.yelp.com/biz/carne-mare-new-york-5
57,Salt + Charcoal,https://www.yelp.com/biz/salt-charcoal-brooklyn
58,Osteria Del Porto,https://www.yelp.com/biz/osteria-del-porto-new-york
59,Balthazar,https://www.yelp.com/biz/balthazar-new-york-2
60,Recette,https://www.yelp.com/biz/recette-brooklyn
61,Kopitiam,https://www.yelp.com/biz/kopitiam-new-york
62,Supper,https://www.yelp.com/biz/supper-new-york
63,Les Enfants de Boheme,https://www.yelp.com/biz/les-enfants-de-boheme-new-york
64,Noodle Village,https://www.yelp.com/biz/noodle-village-new-york-7
65,The Mayfly,https://www.yelp.com/biz/the-mayfly-new-york
66,Shuka,https://www.yelp.com/biz/shuka-new-york-3
67,nonono,https://www.yelp.com/biz/nonono-new-york-6
68,1803,https://www.yelp.com/biz/1803-new-york
69,Crab House All You Can Eat Seafood,https://www.yelp.com/biz/crab-house-all-you-can-eat-seafood-new-york
70,Crab House All You Can Eat Seafood,https://www.yelp.com/biz/crab-house-all-you-can-eat-seafood-new-york
71,While We Were Young,https://www.yelp.com/biz/while-we-were-young-new-york
72,Her Name Is Han,https://www.yelp.com/biz/her-name-is-han-new-york-3
73,The Fulton,https://www.yelp.com/biz/the-fulton-new-york-2
74,Nowon,https://www.yelp.com/biz/nowon-new-york-2
75,Hole In The Wall,https://www.yelp.com/biz/hole-in-the-wall-new-york-12
76,Cobble Fish,https://www.yelp.com/biz/cobble-fish-new-york-2
77,Cecconi’s Dumbo,https://www.yelp.com/biz/cecconis-dumbo-brooklyn
78,Nami Nori,https://www.yelp.com/biz/nami-nori-brooklyn
79,La Contenta,https://www.yelp.com/biz/la-contenta-new-york
80,Nyonya,https://www.yelp.com/biz/nyonya-new-york
81,The Migrant Kitchen,https://www.yelp.com/biz/the-migrant-kitchen-brooklyn
82,Tasty Hand-Pulled Noodles,https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york
83,Evil Katsu,https://www.yelp.com/biz/evil-katsu-new-york
84,Momofuku Ssam Bar,https://www.yelp.com/biz/momofuku-ssam-bar-new-york-6
85,Sofreh,https://www.yelp.com/biz/sofreh-brooklyn
86,LĒNA,https://www.yelp.com/biz/l%C4%93na-new-york-8
87,Pheasant,https://www.yelp.com/biz/pheasant-brooklyn
88,Ruby’s Cafe,https://www.yelp.com/biz/rubys-cafe-new-york-4
89,Cheeky Sandwiches,https://www.yelp.com/biz/cheeky-sandwiches-new-york
90,Cheeky Sandwiches,https://www.yelp.com/biz/cheeky-sandwiches-new-york
91,Buvette,https://www.yelp.com/biz/buvette-new-york
92,Upstate Craft Beer & Oyster Bar,https://www.yelp.com/biz/upstate-craft-beer-and-oyster-bar-new-york-4
93,Sweet Chick,https://www.yelp.com/biz/sweet-chick-new-york
94,Shanghai 21,https://www.yelp.com/biz/shanghai-21-new-york-2
95,Boucherie West Village,https://www.yelp.com/biz/boucherie-west-village-new-york-3
96,Hart’s Restaurant,https://www.yelp.com/biz/harts-restaurant-brooklyn-2
97,Mika,https://www.yelp.com/biz/mika-brooklyn
98,MONO+MONO,https://www.yelp.com/biz/mono-mono-new-york-9
99,Tsurutontan Udon Noodle Brasserie,https://www.yelp.com/biz/tsurutontan-udon-noodle-brasserie-new-york
