,Year,Month,State,Genus Species,Serotype or Genotype,Etiology Status,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,Contaminated Ingredient,Class,Type,Group,Food,Allergy
0,2009.0,1.0,Minnesota,Norovirus,,Suspected,Restaurant - Sit-down dining,2.0,0.0,0.0,,,,,,,
1,2009.0,1.0,Minnesota,Norovirus,,Confirmed,,16.0,0.0,0.0,,,,,,,
2,2009.0,1.0,Minnesota,Norovirus,,Suspected,Restaurant - Sit-down dining,5.0,0.0,0.0,,,,,,,
3,2009.0,1.0,Minnesota,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3.0,0.0,0.0,,,,,,,
4,2009.0,1.0,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,21.0,0.0,0.0,cookies,,,,,,
5,2009.0,1.0,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,7.0,0.0,0.0,"salad, unspecified",,,,,,
6,2009.0,2.0,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,5.0,0.0,0.0,,,,,,,
7,2009.0,2.0,Minnesota,Norovirus Genogroup II,,Suspected,Restaurant - other or unknown type,22.0,1.0,0.0,mushrooms; pasta salad; fruit,,,,,,
8,2009.0,2.0,Minnesota,Norovirus,,Confirmed,Restaurant - other or unknown type,16.0,0.0,0.0,vegetables,,,,,,
9,2009.0,2.0,Minnesota,Campylobacter jejuni,,Confirmed,Restaurant - other or unknown type,11.0,2.0,0.0,"lettuce, unspecified",,,,,,
10,2009.0,2.0,Minnesota,Norovirus,,Confirmed,Restaurant - Sit-down dining,6.0,0.0,0.0,,,,,,,
11,2009.0,2.0,Alaska,Norovirus Genogroup I; Norovirus Genogroup II,,Confirmed; Confirmed,Private home/residence,35.0,0.0,0.0,,,,,,,
12,2009.0,1.0,Alabama,Bacillus cereus,,Confirmed,Restaurant - Sit-down dining,13.0,0.0,0.0,"rice, white",rice,,,,,
13,2009.0,1.0,Illinois,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,6.0,0.0,0.0,,,,,,,
14,2009.0,1.0,Illinois,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,23.0,0.0,0.0,,,,,,,
15,2009.0,1.0,Illinois,,,,Restaurant - other or unknown type,4.0,0.0,0.0,,,,,,,
16,2009.0,1.0,Illinois,,,,Caterer (food prepared off-site from where served),31.0,0.0,0.0,,,,,,,
17,2009.0,1.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,26.0,1.0,0.0,"cake, chocolate",,,,,,
18,2009.0,1.0,Illinois,,,,Restaurant - other or unknown type,2.0,0.0,0.0,,,,,,,
19,2009.0,1.0,Illinois,,,,Restaurant - other or unknown type,4.0,0.0,0.0,,,,,,,
20,2009.0,1.0,Illinois,Salmonella enterica,Enteritidis,Confirmed,Grocery store; Other (describe in remarks),7.0,2.0,0.0,,,,,,,
21,2009.0,1.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,16.0,0.0,0.0,,,,,,,
22,2009.0,1.0,Illinois,,,,Restaurant - other or unknown type,5.0,0.0,0.0,,,,,,,
23,2009.0,2.0,Illinois,Norovirus Genogroup II,,Suspected,Other (describe in remarks),51.0,0.0,0.0,,,,,,,
24,2009.0,2.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,10.0,0.0,0.0,,,,,,,
25,2009.0,2.0,Illinois,,,,Restaurant - other or unknown type,3.0,0.0,0.0,,,,,,,
26,2009.0,2.0,Illinois,,,,Restaurant - other or unknown type,5.0,0.0,0.0,,,,,,,
27,2009.0,2.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,13.0,0.0,0.0,,,,,,,
28,2009.0,3.0,Illinois,,,,Other (describe in remarks),2.0,0.0,0.0,,,,,,,
29,2009.0,3.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),22.0,1.0,0.0,chicken salad,,,,,,
30,2009.0,1.0,Pennsylvania,Campylobacter jejuni,,Confirmed,Other (describe in remarks),9.0,1.0,0.0,"milk, whole milk unpasteurized",,,,,,
31,2009.0,1.0,Tennessee,Norovirus Genogroup I,,Confirmed,Grocery store,8.0,1.0,0.0,cake,,,,,,
32,2009.0,3.0,Tennessee,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,9.0,0.0,0.0,"oysters, raw",oysters,,,,,
33,2009.0,3.0,New York,Shigella sonnei,,Confirmed,Restaurant - Sit-down dining,96.0,0.0,0.0,multiple foods,lemon; lime,,,,,
34,2009.0,1.0,Massachusetts,Salmonella enterica,Braenderup,Confirmed,Restaurant - Sit-down dining,5.0,0.0,0.0,,,,,,,
35,2009.0,1.0,Massachusetts,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,3.0,2.0,0.0,"ground beef, hamburger",,,,,,
36,2009.0,1.0,Massachusetts,,,,Banquet Facility (food prepared and served on-site),32.0,0.0,0.0,salads; tomatoes; vegetables,,,,,,
37,2009.0,1.0,Michigan,,,,Restaurant - other or unknown type,15.0,0.0,0.0,"burrito, chicken",,,,,,
38,2009.0,2.0,New York,Norovirus unknown,,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),24.0,0.0,0.0,lettuce,lettuce,,,,,
39,2009.0,2.0,Massachusetts,Salmonella enterica,"I 4,[5],12:i:-",Confirmed,,2.0,0.0,0.0,,,,,,,
40,2009.0,1.0,Tennessee,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,22.0,4.0,0.0,"oysters, raw",,,,,,
41,2009.0,1.0,Tennessee,Norovirus Genogroup I,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6.0,0.0,0.0,,,,,,,
42,2009.0,1.0,New York,,,,Restaurant - Sit-down dining,6.0,0.0,0.0,"ground beef, other",beef,,,,,
43,2009.0,1.0,Florida,Norovirus Genogroup I,,Confirmed,Restaurant - other or unknown type,24.0,0.0,0.0,"sandwich, wrap; sandwich, wrap",,,,,,
44,2009.0,2.0,New York,Norovirus,,Confirmed,Restaurant - Sit-down dining,51.0,1.0,0.0,"ground beef, gravy, toast, egg dish",,,,,,
45,2009.0,2.0,New York,,,,Restaurant - Sit-down dining,9.0,1.0,0.0,,,,,,,
46,2009.0,2.0,New York,,,,Restaurant - Sit-down dining,12.0,0.0,0.0,,,,,,,
47,2009.0,1.0,Florida,,,,Restaurant - Sit-down dining,15.0,0.0,0.0,macaroni salad,,,,,,
48,2009.0,2.0,Florida,Norovirus Genogroup II,,Confirmed,Long-term care/nursing home/assisted living facility,13.0,2.0,0.0,"cookies, unspecified",,,,,,
49,2009.0,3.0,New York,Staphylococcus aureus,,Confirmed,Private home/residence,20.0,0.0,0.0,chicken yak,,,,,,
50,2009.0,2.0,Wyoming,Norovirus Genogroup II,,Confirmed,,13.0,0.0,0.0,,,,,,,
51,2009.0,3.0,Illinois,Norovirus,,Confirmed,Private home/residence; Caterer (food prepared off-site from where served); School/college/university,189.0,1.0,0.0,"ice; lemonade, unspecified",,,,,,
52,2009.0,3.0,Illinois,Salmonella enterica,Typhimurium,Confirmed,Restaurant - Sit-down dining,6.0,0.0,0.0,,,,,,,
53,2009.0,3.0,Illinois,Campylobacter jejuni; Listeria monocytogenes,,Confirmed; Confirmed,Private home/residence,6.0,1.0,0.0,,,,,,,
54,2009.0,3.0,Illinois,Norovirus Genogroup II,,Confirmed,Restaurant - other or unknown type,27.0,0.0,0.0,,,,,,,
55,2009.0,4.0,Illinois,Clostridium perfringens,,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),24.0,0.0,0.0,"spaghetti, unspecified",,,,,,
