,Month,food_conflicts,result
0,Winter&Summer,"ground beef, gravy, toast, egg dish",104 illness 2 Hospitalizations 0 Deaths 
1,Spring,"cheese, deli meat, sliced turkey",6 illness 0 Hospitalizations 0 Deaths 
2,Winter,"salad bar, pasta salad, tuna, mayonnaise",10 illness 0 Hospitalizations 0 Deaths 
3,Spring,"pizza, meat, cheesy bread stick",8 illness 4 Hospitalizations 0 Deaths 
4,Spring,"chicken, macaroni, cheese, turkey dishes, cream sauce",26 illness 0 Hospitalizations 0 Deaths 
5,Winter,"flauta, chicken, chile relleno, lettuce",12 illness 0 Hospitalizations 0 Deaths 
6,Summer,"sandwich, turkey, lettuce",64 illness 0 Hospitalizations 0 Deaths 
7,Summer,"turkey, gravy, turkey loaf, potato, mashed",48 illness 0 Hospitalizations 0 Deaths 
8,Summer,"rolls, watermelon, cheese, roll, bread",36 illness 0 Hospitalizations 0 Deaths 
9,Spring,"zucchini, marinated, fried, bruschetta, tomatoes, mozzerella, proscuitto, melon, peppers, red, roasted",36 illness 4 Hospitalizations 0 Deaths 
10,Spring,"deli meat, cheese, pre, sliced",80 illness 0 Hospitalizations 0 Deaths 
11,Summer,"crispy chicken salad, grilled chicken salad, chicken salad, tomato, chicken, melon",20 illness 0 Hospitalizations 0 Deaths 
12,Spring,"tomatoes, salads, tomato",18 illness 0 Hospitalizations 0 Deaths 
13,Autumn,"green salad, ranch dressing, lettuce, sour cream",30 illness 0 Hospitalizations 0 Deaths 
14,Winter,"cookies, frosting, icing",38 illness 0 Hospitalizations 0 Deaths 
15,Winter,"cake, doughnuts, cookies",136 illness 4 Hospitalizations 0 Deaths 
16,Winter,"sandwich, chicken, basil, bread, pork, mayonnaise",34 illness 0 Hospitalizations 0 Deaths 
17,Winter,"salads, tuna salad, egg salad, leaf lettuce, leafy green",60 illness 4 Hospitalizations 0 Deaths 
18,Winter,"chicken, roasted, pork",34 illness 0 Hospitalizations 0 Deaths 
19,Winter,"house salad, cucumber, leafy green, onion, tomato",8 illness 0 Hospitalizations 0 Deaths 
20,Autumn,"fish, ono, bok choy, sweet potato, leafy green, butter, cream",8 illness 0 Hospitalizations 0 Deaths 
21,Winter,"nachos, cheese, lettuce, tomato",88 illness 0 Hospitalizations 0 Deaths 
22,Winter,"fruit salad, grapes, melon, pineapple",278 illness 2 Hospitalizations 0 Deaths 
23,Autumn,"ice, water, powdered mix",270 illness 0 Hospitalizations 0 Deaths 
24,Spring,"rice, white, black beans, refried beans, yellow, chicken",8 illness 0 Hospitalizations 0 Deaths 
25,Autumn,"lettuce based salads, salad dressings, cheddar cheese, milk, 1% milk pasteurized, leaf lettuce, pasteurized, vegetables",44 illness 0 Hospitalizations 0 Deaths 
26,Spring,"chicken salad, lettuce, onion, tomato",20 illness 0 Hospitalizations 0 Deaths 
27,Spring,"lasagna, beef, soup, speciality, egg",74 illness 10 Hospitalizations 0 Deaths 
28,Spring,"pork, chicken, bbq",74 illness 2 Hospitalizations 0 Deaths 
29,Summer,"chicken, curry, kabobs",18 illness 2 Hospitalizations 0 Deaths 
30,Summer,"oysters, raw, salmon, smoked",10 illness 0 Hospitalizations 0 Deaths 
31,Spring,"seal, blubber, oil",4 illness 2 Hospitalizations 0 Deaths 
32,Winter,"milk, whole milk unpasteurized, cheese, unpasteurized",30 illness 2 Hospitalizations 0 Deaths 
33,Spring,"beans, baked, pork, bbq",26 illness 0 Hospitalizations 0 Deaths 
34,Autumn,"mayonnaise, homemade, homemade tartar sauce, vegetable, based salads, egg",8 illness 2 Hospitalizations 0 Deaths 
35,Summer,"rice, white, noodles, wonton",12 illness 0 Hospitalizations 0 Deaths 
36,Summer,"pre, packaged nuts, cake, chocolate, nuts, almonds",24 illness 0 Hospitalizations 0 Deaths 
37,Spring,"sandwich, fish, based, green salad, ground beef, hamburger, lettuce, leaf lettuce, romaine lettuce",14 illness 0 Hospitalizations 0 Deaths 
38,Summer,"fish, wahoo, rice, stir, fry",16 illness 0 Hospitalizations 0 Deaths 
39,Summer,"bbq, chicken, sausage",12 illness 2 Hospitalizations 0 Deaths 
40,Winter,"chili verde, chicken, marsala, sauces",42 illness 2 Hospitalizations 0 Deaths 
41,Summer,"pork, bbq, potato salad, beans, baked, coleslaw",148 illness 14 Hospitalizations 0 Deaths 
42,Autumn,"peppers, bell, ranch dressing, celery",24 illness 0 Hospitalizations 0 Deaths 
43,Winter,"macaroni salad, gravy, beef, sliced, potatoes",52 illness 0 Hospitalizations 0 Deaths 
44,Autumn,"sandwich, turkey, vegetable, based",52 illness 4 Hospitalizations 0 Deaths 
45,Summer,"milk, whole milk unpasteurized, whole milk pasteurized",14 illness 0 Hospitalizations 0 Deaths 
46,Spring,"chicken, fried, potato",36 illness 2 Hospitalizations 0 Deaths 
47,Winter,"salad, carrots, cheese, cucumber, egg, leaf lettuce, onion, tomato",22 illness 0 Hospitalizations 0 Deaths 
48,Spring,"multiple salads, fish, couscous, zucchini, mousse, water, ice, soup, vegetable, based, speciality, enchiladas, red salsa, chips, tortilla, ranch dressing, refried beans, melon, cake, salad dressings, pork, sweet, sour, mixed vegetables, egg rolls, banana, cookies",66 illness 2 Hospitalizations 0 Deaths 
49,Summer,"vegetable, based salads, pasta, specialty",36 illness 0 Hospitalizations 0 Deaths 
50,Winter,"chicken, buffalo wings, celery, blue cheese dressing, beer",6 illness 0 Hospitalizations 0 Deaths 
51,Winter,"deli meat, multiple, bread",26 illness 0 Hospitalizations 0 Deaths 
52,Winter,"chicken, marsala, pork",78 illness 10 Hospitalizations 0 Deaths 
53,Winter,"sandwich, submarine, peppers, green, tomato",32 illness 0 Hospitalizations 0 Deaths 
54,Spring,"salad, bread, lettuce",18 illness 0 Hospitalizations 0 Deaths 
55,Spring,"chips, salsa, corn, cilantro, onion, peppers, tomato",36 illness 4 Hospitalizations 0 Deaths 
56,Spring,"pizza, vegetable, bread, sourdough, broccoli, cheese, cream cheese, tomato",114 illness 2 Hospitalizations 0 Deaths 
57,Spring,"rice, fried rice, white",6 illness 0 Hospitalizations 0 Deaths 
58,Spring,"bean dishes, collard greens, chicken, dumplings, taco, apple crisp, dip, buffalo chicken",56 illness 0 Hospitalizations 0 Deaths 
59,Spring,"sandwich, deli, american cheese, pasteurized, lettuce, tomatoes, red round",100 illness 0 Hospitalizations 0 Deaths 
60,Spring,"beef, brisket, potato, mashed, gravy, potatoes",54 illness 0 Hospitalizations 0 Deaths 
61,Spring,"cockles, mussels, clams, butter",42 illness 8 Hospitalizations 0 Deaths 
62,Summer,"fried rice, pork, chops, spring roll",62 illness 0 Hospitalizations 0 Deaths 
63,Summer&Autumn,"grouper, black, fish",12 illness 0 Hospitalizations 0 Deaths 
64,Summer,"pork, bbq, beans",54 illness 0 Hospitalizations 0 Deaths 
65,Autumn,"pasta, sauces, ground beef, salad",98 illness 0 Hospitalizations 0 Deaths 
66,Autumn,"cake, black, white, filling, icing",12 illness 0 Hospitalizations 0 Deaths 
67,Autumn,"alcohol, water, lemon, lime",16 illness 0 Hospitalizations 0 Deaths 
68,Spring,"salsa, carnitas, tomato, pork",272 illness 0 Hospitalizations 0 Deaths 
69,Summer,"beef, chili, refried beans, beans",44 illness 0 Hospitalizations 0 Deaths 
70,Autumn,"cake, carrot, frosting, cream cheese",32 illness 0 Hospitalizations 0 Deaths 
71,Autumn,"stuffing, gravy, mashed potato",90 illness 0 Hospitalizations 0 Deaths 
72,Winter,"lamb, kabobs, chicken",22 illness 0 Hospitalizations 0 Deaths 
73,Winter,"ham, turkey, roasted",28 illness 0 Hospitalizations 0 Deaths 
74,Summer,"ackawi cheese, pasteurized, chives cheese",4 illness 4 Hospitalizations 2 Deaths 
75,Autumn,"turkey, smoked, bbq",108 illness 6 Hospitalizations 0 Deaths 
76,Spring,"rice crispy treat, brownies, n, a",56 illness 2 Hospitalizations 0 Deaths 
77,Winter,"pork, roasted, yucca, rice, beans",16 illness 0 Hospitalizations 0 Deaths 
