be_matched_ingredient,matched_grocery,price_list,avg_mid_price
potatoes,"][russet potatoes, 90][gold mini creamer potatoes, 90][red mini creamer potatoes, 90][red potatoes, 90][savory garden herb mini creamer potatoes, 90","[1.7940316407696788, 7.980140743222988, 8.580151325420204, 2.990052734616132, 11.97021111483448]",6.52
unsalted butter,"][unsalted butter, 100][salted butter, 93][challenge unsalted butter, 90][tillamook unsalted butter spread, 90][land o lakes unsalted butter, 90","[0.7804723187357803, 0.7804723187357803, 1.172013615760419, 1.0937053563554915, 1.0414998500855397]",0.97
medium garlic cloves minced,"][spice world premium minced squeeze garlic, 86][spice world garlic, 86][boneless & skinless garlic herb seasoned chicken breastfrozen, 86][honeysuckle white parmesan garlic turkey meatballs, 86][kretschmar off the bone herb & garlic chicken breastdeli fresh sliced, 86","[3.69, 0.85, 7.49, 4.99, 9.99]",5.39
dried coriander,"][coriander, 90][bustelo supreme freeze dried medium roast coffee, 86][quick bites cheese, chocolate, dried cranberry & banana, 86][classico signature recipes sun-dried tomato pesto, 86][freeze dried strawberry slices, 86","[2.077779149544084, 0.684637925083083, 0.4280851514136052, 0.20559946296437828, 1.563554912785058]",0.89
toasted sliced almonds,"][sliced almonds, 90][mango sliced, 86][mangos sliced, 86][giorgio baby bella sliced mushrooms, 86][smart chicken organic boneless & skinless thin sliced chicken breast0.75-1.5lbs, 86","[1.664992327907018, 0.9998299793647153, 0.9998299793647153, 0.7792915218963298, 16.49]",1.22
toasted sesame seeds,"][sesame seeds, 90][sea cuisine pan sear teriyaki sesame salmonfrozen, 86][toasted head chardonnay white wine, 86][toasted head cabernet sauvignon red wine, 86][reformation stark toasted porter beer, 86","[0.8300675496922345, 0.463468883441017, 0.21686933333333336, 0.21686933333333336, 0.08333849936974357]",0.3
dried oregano,"][bustelo supreme freeze dried medium roast coffee, 86][quick bites cheese, chocolate, dried cranberry & banana, 86][gino's grated parmesan basil & oregano cheese, 86][classico signature recipes sun-dried tomato pesto, 86][freeze dried strawberry slices, 86","[1.369275850166166, 0.8561703028272104, 0.5207499250427698, 0.41119892592875656, 3.127109825570116]",0.92
whole milk,"][whole milk, 100][vitamin d whole milk, 90][organic whole milk, 90][fairlife lactose-free whole milk, 90][lactaid lactose-free whole milk, 90","[0.20713800210730537, 0.15561372520121686, 0.3112274504024337, 0.5677211016619609, 0.47419071691435466]",0.33
sea salt,"][oscar mayer smoked uncured turkey bacon with sea salt, 90][shiner sea salt & lime beer, 90][cameron's coffee sea salt caramel light roast ground coffee, 90][sea salt caramel hot cocoa mix, 90][larabar chocolate sea salt brownie snack bar, 90","[0.28404541365969266, 0.08335587603766888, 0.3423539215859187, 0.4884477680382371, 0.7329163653679961]",0.37
cayenne pepper,"][cayenne pepper, 100][frank's redhot original cayenne pepper sauce, 90][organic cayenne pepper, 90][zatarain's cayenne pepper spice, 90][blue diamond almonds  xtremes cayenne pepper, 90","[1.9511807968394508, 0.1132632505595912, 1.0937053563554915, 0.16489739221819275, 0.3210638635602039]",0.53
ground turmeric,"][ground turmeric, 100][organic ground turmeric, 90][gt's synergy tantric turmeric organic kombucha, 86][sol-ti organic turmeric supershot, 86][bolthouse farms carrot ginger turmeric juice, 86","[1.258427466928313, 0.9942775966868105, 0.10603242768018666, 0.8732818232539268, 0.0885661327308499]",0.66
Dijon-style mustard,"][dijon mustard, 95][asian style chopped salad kit, 86][mexican-style caesar salad bowl, 86][vegan tangy thai-style curry with quinoa & chickpeas salad kit, 86][ready pac foods bistro santa fe style salad bowl, 86","[0.06460431400906541, 0.24034611925050914, 0.4338028973384095, 0.26856234668769047, 0.4122146775075399]",0.31
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
orange juice or grapefruit juice,"][orange juice, 90][navel orange, 86][orange bell pepper, 86][red grapefruit, 86][naked juice guava, 86","[0.04519671327370788, 0.75, 1.49, 0.99, 0.18371710804391914]",0.64
pickle relish,"][dill pickle chopped salad kit, 86][plucky pickle dip original, 86][plucky pickle dip spicy, 86][plucky pickle dip white cheddar & mustard, 86][claussen dill pickle spears, 86","[0.5318297106819776, 1.3401899252443357, 1.3401899252443357, 1.3401899252443357, 0.23708725717280676]",1.07
Greek yogurt,"][two good low fat lower sugar strawberry & vanilla greek yogurt, 90][oikos triple zero variety pack greek yogurt, 90][chobani vanilla blended nonfat greek yogurt, 90][light + fit nonfat gluten-free vanilla greek yogurt, 90][fage total 0% milkfat plain greek yogurt, 90","[6.131820234425618, 4.71460446375714, 0.8747469091165627, 3.297388693088661, 0.7929717023152977]",2.96
paneer cheese,"][crunch pak sweet apple snackers with pretzels & cheese, 86][crunch pak disney foodles peeled apples, cheese & crackers, 86][litehouse squeeze blue cheese dressing, 86][blue cheese dressing & dip, 86][bob's big boy bleu cheese dressing, 86","[4.53859670782275, 5.382202043849283, 1.9594842942556303, 2.2343426829199564, 2.0598846940673234]",2.94
mushrooms,"][sliced white mushrooms, 90][sliced baby bella mushrooms, 90][giorgio fresh whole white mushrooms, 90][giorgio baby bella mushrooms, 90][baby bella mushrooms, 90","[1.993544859697702, 2.3942573943103054, 1.8933667260445508, 2.3942573943103054, 2.3942573943103054]",2.26
small-med onions,"][small tail off peeled & deveined cooked shrimpfrozen, 86][small tail-off, peeled, deveined cooked shrimpfrozen71-90ct/lb, 86][miami cocktail small batch blood orange mimosa, 86][miami cocktail small batch sunset wine sangria, 86][miami cocktail small batch copper pot margarita, 86","[6.49, 11.99, 12.99, 12.99, 12.99]",12.66
of frozen artichoke hearts,"][romaine hearts, 86][hearts of romaine, 86][celery hearts, 86][organic girl true hearts butter, plus! lettuce, 86][morningstar farms buffalo frozen chik veggie patties, 86","[2.2685473048266043, 5.545337856242811, 2.3889927511949067, 18.736379830332105, 7.327635408031887]",5.09
rye flour or whole wheat pastry flour,"][organic whole carrots, 86][whole white mushrooms, 86][whole carrots, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.426594825305561, 1.2500220462442018, 0.2629014621069155, 1.5490147305401605, 1.5092228887886663]",1.06
semola flour,"][king arthur flour gluten free pancake mix, 86][simple mills gluten free pancake & waffle almond flour mix, 86][mission extra fluffy fajita flour tortillas, 86][mission carb balance fajita size whole wheat flour tortillas, 86][mama lupe's taco size authentic flour tortillas, 86","[1.877516946213043, 4.214417732729633, 0.8503383363610175, 2.4621245524612427, 0.8120856530881398]",1.73
egg,"][eggplant, 90][classic eggnog, 90][light eggnog, 90][reiter creamy egg nog, 90][just egg plant based egg, 90","[1.49, 2.49, 2.49, 4.59, 3.99]",2.99
red beet juice,"][extra large red seedless grapes, 86][organic red seedless grapes, 86][extra large red grapes, 86][extra large red seedless grape, 86][red mini creamer potatoes, 86","[0.23427220938640897, 0.3908887281962646, 0.2280728055168522, 2.39, 0.2799520273726169]",0.3
water,"][mini watermelon, 90][fresh garden highway watermelon spears, 90][watermelon spears, 90][crazy fresh watermelon spears, 90][crazy fresh watermelon chunks, 90","[3.99, 0.7808563643097761, 0.7808563643097761, 0.9373406056544206, 0.9998299793647153]",0.91
garlic cloves,"][spice world minced garlic, 86][spice world organic garlic, 86][garlic parsley mini creamer potatoes, 86][spice world premium minced squeeze garlic, 86][spice world fresh whole garlic, 86","[8.19, 2.99, 3.99, 3.69, 1.59]",3.56
Greek Yogurt,"][two good low fat lower sugar strawberry & vanilla greek yogurt, 90][oikos triple zero variety pack greek yogurt, 90][chobani vanilla blended nonfat greek yogurt, 90][light + fit nonfat gluten-free vanilla greek yogurt, 90][fage total 0% milkfat plain greek yogurt, 90","[6.47909999410991, 4.981619255871873, 0.9242887881620487, 3.484138517633835, 0.8378821875689959]",3.13
minced jalapeño or serrano chile,"][essentia water 9.5 ph or higher ionized alkaline water, 86][21st amendment brew free! or die blood orange ipa beer, 86][maranatha no added sugar or salt no stir almond butter, 86][minced onion, 86][minced garlic, 86","[0.056684000000000005, 0.13887433005900554, 0.6952033251615255, 0.621245524612427, 1.2842554542408156]",0.49
walnuts,"][little debbie fudge brownies with english walnuts, 90][chopped walnuts, 90][shelled walnuts, 90][diamond of california shelled walnuts, 90][diamond of california chopped walnuts, 90","[0.2307733008450834, 0.7519973897246865, 0.7629102806045962, 0.8918808091853472, 0.8710471084146105]",0.8
rye flour,"][faygo rock & rye soda, 86][robert mondavi private selection rye barrel-aged red blend wine, 86][four corners local buzz honey-rye golden ale beer, 86][madison river salmon fly honey rye beer, 86][4 hands divided sky rye ipa beer, 86","[0.017849999999999998, 0.5596, 0.14075101019493805, 0.14075101019493805, 0.12666181998523451]",0.14
unbleached all-purpose flour,"][unbleached all purpose flour, 100][king arthur flour unbleached all-purpose flour, 90][all purpose flour, 90][naked green machine all natural fruit + boosts juice smoothie, 86][naked all natural protein zone double berry protein juice smoothie , 86","[0.05961304432176934, 0.14074322298453237, 0.05961304432176934, 0.5179707058789675, 0.5922317389798948]",0.24
granulated sugar,"][granulated sugar, 100][crystal granulated sugar, 90][humm zero sugar peach tea kombucha, 86][humm zero sugar blood orange kombucha, 86][suja low sugar refreshers pack, 86","[0.010968006490414293, 0.014826099225735904, 0.09191275358621125, 0.09191275358621125, 1.6907028251644207]",0.07
fine grain sea salt,"][gardein vegan frozen seven grain crispy tenders, 86][whole grain dinosaur shaped chicken nuggetsfrozen, 86][yummy whole grain dino buddies chicken nuggetsfrozen, 86][perdue simply smart organic whole grain breaded chicken breast nuggetsfrozen, 86][yummy whole grain alpha buddies chicken breast nuggetsfrozen, 86","[0.12152281737283237, 0.047615022097938844, 0.07445499584690754, 0.07641806003998125, 0.07445499584690754]",0.08
unsalted butter,"][unsalted butter, 100][salted butter, 93][challenge unsalted butter, 90][tillamook unsalted butter spread, 90][land o lakes unsalted butter, 90","[0.7804723187357803, 0.7804723187357803, 1.172013615760419, 1.0937053563554915, 1.0414998500855397]",0.97
100% hydration sourdough starter*,"][organic 100% grassfed top sirloin steak0.375-0.75 lbs., 86][organic 100% grassfed ny strip steak0.5-0.75 lbs., 86][polar unicorn kisses 100% natural jr. seltzer water, 86][polar dragon whispers 100% natural jr. seltzer water, 86][100% apple juice, 86","[11.24, 12.74, 0.11588358947481135, 0.11588358947481135, 0.057853737298595026]",3.82
