,recipe,amount,unit,ingredient,price,instruction
0,shepherds-pie-recipe,1.5,453.6,potatoes or sweet potatoes,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
1,shepherds-pie-recipe,0.6,236.6,full-fat coconut milk,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
2,shepherds-pie-recipe,0.0,-1.0,fine grain sea salt,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
3,shepherds-pie-recipe,1.0,14.8,coconut oil,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
4,shepherds-pie-recipe,1.0,-1.0,medium onion,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
5,shepherds-pie-recipe,4.0,-1.0,garlic,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
6,shepherds-pie-recipe,8.0,28.4,mushrooms,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
7,shepherds-pie-recipe,1.0,236.6,crushed tomatoes,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
8,shepherds-pie-recipe,2.0,14.8,garam masala,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
9,shepherds-pie-recipe,2.0,236.6,cooked yellow or green split peas,21.07,"Preheat oven to 375F with a rack in the center. Place the potatoes/sweet potatoes in a medium saucepan, cover with water, salt as you would pasta water, and bring to a boil for about ten minutes, or until tender. Drain, and return to saucepan over heat for a minute or so to dry out a bit. Add the coconut milk, and the salt, and mash together. Set aside. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÌ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed. Transfer the mushroom mixture to a 8-inch baking dish (or equivalent), spreading it across in a somewhat even layer. Dollop the potatoes across the top, and gently push them around until they cover the entire top of the casserole, run the tines of a fork across the top if you like a bit of texture. Bake for 25 minutes, and finish under a broiler to add a bit of extra color and texture to the top. Serve as-is, or sprinkled with any (or all) of the suggested toppings. In a large saucepan over medium-high heat, combine the coconut oil with the onion and garlic, and a generous pinch of salt. SautÃ© for a few minutes, until onions are translucent, and then turn the heat up and add the mushrooms. Cook, stirring every couple of minutes, until the mushrooms release their water, and start to brown. Add the tomatoes and spices. Stir well, then add the cooked split peas and peas. Cook for another minute or two, taste, and adjust with more garam masala or salt if needed."
